#Top: Test_wrapper   Floorplan: impl_1   Part: xc7z030ffg676-2;;;;;;;;;;;;;;;;;;;;;;;;;;
#Generated by: Muhammed   on: Fri Jul 19 09:32:35 2024;;;;;;;;;;;;;;;;;;;;;;;;;;
#Build: Vivado v2022.2   by: xbuild   on: Fri Oct 14 05:00:03 MDT 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Version: FINAL 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Pin Delay Version: VERS. 2.0 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
IO Bank;Pin Number;Site;Site Type;Min Trace Delay (ps);Max Trace Delay (ps);Avrg Trace Delay (ps);Prohibit;Interface;Signal Name;Direction;DiffPair Type;DiffPair Signal;IO Standard;Drive (mA);Slew Rate;OUTPUT_IMPEDANCE;PRE_EMPHASIS;LVDS_PRE_EMPHASIS;EQUALIZATION;Pull Type;DQS_BIAS;IN_TERM;DIFF_TERM;OFFCHIP_TERM;Board Signal;Board Voltage
502;V24;IOPAD_X1Y56;PS_DDR_DQ24_502;105.388;106.447;105.918;;DDR_40162;DDR_dq[24];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;R23;IOPAD_X1Y55;PS_DDR_DQ23_502;98.087;99.073;98.580;;DDR_40162;DDR_dq[23];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;T23;IOPAD_X1Y54;PS_DDR_DQ22_502;92.524;93.454;92.989;;DDR_40162;DDR_dq[22];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;T25;IOPAD_X1Y53;PS_DDR_DQ21_502;106.613;107.685;107.149;;DDR_40162;DDR_dq[21];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;T24;IOPAD_X1Y52;PS_DDR_DQ20_502;97.984;98.968;98.476;;DDR_40162;DDR_dq[20];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;P23;IOPAD_X1Y51;PS_DDR_DQ19_502;91.537;92.457;91.997;;DDR_40162;DDR_dq[19];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;N26;IOPAD_X1Y50;PS_DDR_DQ18_502;112.391;113.520;112.956;;DDR_40162;DDR_dq[18];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;P24;IOPAD_X1Y49;PS_DDR_DQ17_502;96.532;97.502;97.017;;DDR_40162;DDR_dq[17];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;R26;IOPAD_X1Y48;PS_DDR_DQ16_502;109.358;110.457;109.908;;DDR_40162;DDR_dq[16];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;N23;IOPAD_X1Y47;PS_DDR_DQ15_502;85.709;86.571;86.140;;DDR_40162;DDR_dq[15];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;M24;IOPAD_X1Y46;PS_DDR_DQ14_502;91.640;92.561;92.101;;DDR_40162;DDR_dq[14];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;N24;IOPAD_X1Y45;PS_DDR_DQ13_502;92.521;93.451;92.986;;DDR_40162;DDR_dq[13];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;M25;IOPAD_X1Y44;PS_DDR_DQ12_502;98.888;99.882;99.385;;DDR_40162;DDR_dq[12];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;K23;IOPAD_X1Y43;PS_DDR_DQ11_502;85.591;86.451;86.021;;DDR_40162;DDR_dq[11];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;M26;IOPAD_X1Y42;PS_DDR_DQ10_502;109.115;110.212;109.664;;DDR_40162;DDR_dq[10];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;L23;IOPAD_X1Y41;PS_DDR_DQ9_502;85.410;86.268;85.839;;DDR_40162;DDR_dq[9];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;K26;IOPAD_X1Y40;PS_DDR_DQ8_502;105.725;106.788;106.257;;DDR_40162;DDR_dq[8];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;J23;IOPAD_X1Y39;PS_DDR_DQ7_502;110.855;111.969;111.412;;DDR_40162;DDR_dq[7];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;J24;IOPAD_X1Y38;PS_DDR_DQ6_502;109.192;110.289;109.741;;DDR_40162;DDR_dq[6];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;H23;IOPAD_X1Y37;PS_DDR_DQ5_502;116.101;117.268;116.685;;DDR_40162;DDR_dq[5];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
502;H26;IOPAD_X1Y36;PS_DDR_DQ4_502;117.569;118.750;118.160;;DDR_40162;DDR_dq[4];INOUT;;;SSTL15_T_DCI;;FAST;;;;;;;;;FP_VTT_50;;
